timestamp_begin_pt,timestamp_end_pt,SCE,VEA,PGAE,SDGE,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,9943.00,74,10017.00,1896,21930
2021-01-01 01:00:00,2021-01-01 02:00:00,10566.00,80,10863.00,2351,23860
2021-01-01 02:00:00,2021-01-01 03:00:00,11737.00,86,12043.00,2659,26525
2021-01-01 03:00:00,2021-01-01 04:00:00,11857.00,84,12152.00,2656,26749
2021-01-01 04:00:00,2021-01-01 05:00:00,11599.00,82,11727.00,2572,25980
2021-01-01 05:00:00,2021-01-01 06:00:00,11295.00,81,11316.00,2467,25159
2021-01-01 06:00:00,2021-01-01 07:00:00,10998.00,80,10916.00,2378,24372
2021-01-01 07:00:00,2021-01-01 08:00:00,10566.00,78,10427.00,2250,23321
2021-01-01 08:00:00,2021-01-01 09:00:00,10158.00,76,10004.00,2148,22386
2021-01-01 09:00:00,2021-01-01 10:00:00,9693.00,75,9652.00,2044,21464
2021-01-01 10:00:00,2021-01-01 11:00:00,9322.00,75,9256.00,1942,20595
2021-01-01 11:00:00,2021-01-01 12:00:00,9017.00,77,8981.00,1862,19937
2021-01-01 12:00:00,2021-01-01 13:00:00,8888.00,78,8831.00,1830,19627
2021-01-01 13:00:00,2021-01-01 14:00:00,8851.00,82,8843.00,1831,19607
2021-01-01 14:00:00,2021-01-01 15:00:00,9016.00,88,9050.00,1888,20042
2021-01-01 15:00:00,2021-01-01 16:00:00,9242.00,94,9466.00,1970,20772
2021-01-01 16:00:00,2021-01-01 17:00:00,9134.00,96,9658.00,1923,20811
2021-01-01 17:00:00,2021-01-01 18:00:00,8860.00,89,9399.00,1623,19971
2021-01-01 18:00:00,2021-01-01 19:00:00,8542.00,79,8958.00,1432,19011
2021-01-01 19:00:00,2021-01-01 20:00:00,8250.00,72,8592.00,1312,18226
2021-01-01 20:00:00,2021-01-01 21:00:00,8070.00,65,8392.00,1241,17768
2021-01-01 21:00:00,2021-01-01 22:00:00,7981.00,61,8383.00,1232,17657
2021-01-01 22:00:00,2021-01-01 23:00:00,8116.00,57,8479.00,1284,17936
2021-01-01 23:00:00,2021-01-02 00:00:00,8374.00,56,8749.00,1455,18634
2021-01-02 00:00:00,2021-01-02 01:00:00,8864.00,57,9237.00,1709,19867
2021-01-02 01:00:00,2021-01-02 02:00:00,9734.00,65,10211.00,2147,22157
2021-01-02 02:00:00,2021-01-02 03:00:00,11042.00,76,11421.00,2506,25045
2021-01-02 03:00:00,2021-01-02 04:00:00,11206.00,79,11578.00,2526,25389
2021-01-02 04:00:00,2021-01-02 05:00:00,11128.00,82,11451.00,2458,25119
2021-01-02 05:00:00,2021-01-02 06:00:00,10961.00,82,11157.00,2394,24594
2021-01-02 06:00:00,2021-01-02 07:00:00,10720.00,82,10787.00,2278,23867
2021-01-02 07:00:00,2021-01-02 08:00:00,10223.00,81,10177.00,2163,22644
2021-01-02 08:00:00,2021-01-02 09:00:00,9675.00,80,9574.00,1993,21322
2021-01-02 09:00:00,2021-01-02 10:00:00,9394.00,81,9251.00,1920,20646
2021-01-02 10:00:00,2021-01-02 11:00:00,9112.00,83,8889.00,1838,19922
2021-01-02 11:00:00,2021-01-02 12:00:00,8895.00,86,8676.00,1787,19444
2021-01-02 12:00:00,2021-01-02 13:00:00,8794.00,89,8585.00,1788,19256
2021-01-02 13:00:00,2021-01-02 14:00:00,8864.00,95,8636.00,1790,19385
2021-01-02 14:00:00,2021-01-02 15:00:00,9064.00,100,8858.00,1851,19873
2021-01-02 15:00:00,2021-01-02 16:00:00,9363.00,106,9298.00,1938,20705
2021-01-02 16:00:00,2021-01-02 17:00:00,9417.00,109,9626.00,1963,21115
2021-01-02 17:00:00,2021-01-02 18:00:00,9358.00,103,9685.00,1839,20985
2021-01-02 18:00:00,2021-01-02 19:00:00,8991.00,90,9809.00,1599,20489
2021-01-02 19:00:00,2021-01-02 20:00:00,8710.00,79,9939.00,1500,20228
2021-01-02 20:00:00,2021-01-02 21:00:00,8578.00,70,10066.00,1412,20126
2021-01-02 21:00:00,2021-01-02 22:00:00,8602.00,63,10042.00,1381,20088
2021-01-02 22:00:00,2021-01-02 23:00:00,8765.00,59,10145.00,1426,20395
