timestamp_begin_ct,timestamp_end_ct,Coast,East,Far West,North,North Central,Southern,South Central,West,System Total
2021-02-06 00:00:00,2021-02-06 01:00:00,10495.71,1535.91,3758.02,825.07,11276.39,2509.71,5715.82,1177.67,37294.29
2021-02-06 01:00:00,2021-02-06 02:00:00,10270.09,1508.83,3828.71,820.06,11051.41,2412.48,5525.49,1094.97,36512.04
2021-02-06 02:00:00,2021-02-06 03:00:00,10122.04,1486.63,3769.87,826.01,10990.07,2344.43,5423.71,1169.83,36132.6
2021-02-06 03:00:00,2021-02-06 04:00:00,10046.69,1488.59,3721.14,820.9,11038.36,2321.09,5329.15,1239.84,36005.75
2021-02-06 04:00:00,2021-02-06 05:00:00,10055.54,1549.22,3733.1,835.66,11212.47,2317.04,5333.23,1258.74,36294.99
2021-02-06 05:00:00,2021-02-06 06:00:00,10235.21,1602.35,3745.59,863.66,11457.24,2364.71,5497.06,1289.94,37055.77
2021-02-06 06:00:00,2021-02-06 07:00:00,10504.16,1679.96,3785.59,898.16,11967.09,2447.74,5753.67,1335.65,38372.01
2021-02-06 07:00:00,2021-02-06 08:00:00,10729.18,1760.45,3808.2,923.27,12566.72,2534.62,6052.73,1406.43,39781.59
2021-02-06 08:00:00,2021-02-06 09:00:00,11024.29,1785.71,3789.19,983.13,13135.94,2657.89,6327.1,1438.98,41142.22
2021-02-06 09:00:00,2021-02-06 10:00:00,11194.93,1831.79,3805.71,1089.64,13689.92,2772.22,6446.68,1380.04,42210.93
2021-02-06 10:00:00,2021-02-06 11:00:00,11191.36,1814.41,3801.76,1072.17,13753.27,2822.52,6398.92,1339.05,42193.47
2021-02-06 11:00:00,2021-02-06 12:00:00,10977.94,1778.66,3748.81,1041.44,13353.31,2819.79,6052.7,1304.09,41076.74
2021-02-06 12:00:00,2021-02-06 13:00:00,10800.03,1691.71,3751.52,1045.58,12830.55,2791.47,5715.48,1226.61,39852.94
2021-02-06 13:00:00,2021-02-06 14:00:00,10657.04,1596.43,3745.7,1038.4,12052.29,2769.28,5537.42,1188.45,38585.01
2021-02-06 14:00:00,2021-02-06 15:00:00,10436.7,1541.18,3751.33,1020.26,11475.68,2774.5,5457.99,1111.88,37569.51
2021-02-06 15:00:00,2021-02-06 16:00:00,10314.74,1452.79,3753.73,976.88,11160.27,2791.77,5449.35,1084.62,36984.16
2021-02-06 16:00:00,2021-02-06 17:00:00,10271.72,1485.38,3750.94,926.65,11097.95,2851.61,5490.35,1070.56,36945.16
2021-02-06 17:00:00,2021-02-06 18:00:00,10262.5,1535.55,3718.04,878.83,11424.81,2864.15,5637.41,1150.13,37471.43
2021-02-06 18:00:00,2021-02-06 19:00:00,10464.09,1592.06,3713.61,914.05,12140.78,2805.81,5858.36,1321.0,38809.76
2021-02-06 19:00:00,2021-02-06 20:00:00,10656.17,1608.59,3752.51,953.59,12427.59,2909.64,5998.66,1444.41,39751.16
2021-02-06 20:00:00,2021-02-06 21:00:00,10592.78,1653.54,3695.16,979.19,12414.82,2852.27,5945.79,1375.63,39509.18
2021-02-06 21:00:00,2021-02-06 22:00:00,10423.71,1596.94,3661.36,945.93,12310.43,2781.69,5810.9,1383.04,38914.0
2021-02-06 22:00:00,2021-02-06 23:00:00,10237.14,1588.06,3704.84,899.21,12035.14,2700.46,5636.18,1338.83,38139.86
2021-02-06 23:00:00,2021-02-07 00:00:00,10031.82,1573.17,3846.64,877.8,11703.18,2603.31,5445.36,1208.41,37289.7
2021-02-07 00:00:00,2021-02-07 01:00:00,9822.65,1527.67,3908.31,865.55,11572.08,2502.98,5307.79,1123.33,36630.36
2021-02-07 01:00:00,2021-02-07 02:00:00,9685.11,1520.14,3964.55,866.39,11535.65,2431.6,5231.32,1091.5,36326.25
2021-02-07 02:00:00,2021-02-07 03:00:00,9657.53,1531.8,3997.15,886.27,11635.54,2380.87,5219.4,1091.82,36400.39
2021-02-07 03:00:00,2021-02-07 04:00:00,9719.74,1549.03,3993.85,900.47,11904.94,2369.35,5319.41,1151.62,36908.41
2021-02-07 04:00:00,2021-02-07 05:00:00,9861.11,1597.45,3975.2,918.75,12241.7,2399.93,5483.31,1215.06,37692.52
2021-02-07 05:00:00,2021-02-07 06:00:00,10096.16,1651.77,3978.43,925.09,12668.26,2461.54,5753.93,1270.39,38805.58
2021-02-07 06:00:00,2021-02-07 07:00:00,10439.94,1732.75,4023.0,938.28,13118.83,2557.32,6140.66,1337.23,40288.02
2021-02-07 07:00:00,2021-02-07 08:00:00,10665.18,1814.36,4095.84,962.91,13646.61,2647.27,6603.57,1349.25,41784.99
2021-02-07 08:00:00,2021-02-07 09:00:00,10891.63,1869.35,4071.54,986.5,14173.29,2718.0,6675.18,1347.66,42733.15
2021-02-07 09:00:00,2021-02-07 10:00:00,10960.43,1846.12,4009.48,1077.31,14585.37,2720.9,6477.2,1307.81,42984.62
2021-02-07 10:00:00,2021-02-07 11:00:00,10895.4,1763.48,3872.63,1091.96,14533.79,2696.67,6217.77,1298.15,42369.84
2021-02-07 11:00:00,2021-02-07 12:00:00,10745.68,1667.05,3853.86,1060.22,13867.52,2686.66,5964.35,1229.84,41075.18
2021-02-07 12:00:00,2021-02-07 13:00:00,10562.17,1567.06,3837.08,1003.91,12895.45,2712.36,5749.44,1169.5,39496.96
2021-02-07 13:00:00,2021-02-07 14:00:00,10435.98,1489.1,3804.77,944.16,12164.53,2770.49,5598.98,1115.0,38323.01
2021-02-07 14:00:00,2021-02-07 15:00:00,10336.24,1414.5,3789.57,900.26,11605.85,2849.23,5502.01,1060.52,37458.17
2021-02-07 15:00:00,2021-02-07 16:00:00,10305.61,1381.94,3777.48,873.02,11261.84,2926.26,5529.92,1039.42,37095.5
2021-02-07 16:00:00,2021-02-07 17:00:00,10303.7,1388.23,3718.15,861.4,11205.63,2964.26,5648.33,1081.87,37171.56
2021-02-07 17:00:00,2021-02-07 18:00:00,10401.72,1428.43,3722.04,818.08,11432.34,2941.31,5822.0,1119.73,37685.66
2021-02-07 18:00:00,2021-02-07 19:00:00,10779.33,1479.18,3748.12,870.59,11908.78,2908.78,5984.65,1172.42,38851.86
2021-02-07 19:00:00,2021-02-07 20:00:00,10862.33,1506.23,3797.12,908.69,12273.22,2913.55,6007.99,1259.16,39528.3
2021-02-07 20:00:00,2021-02-07 21:00:00,10819.41,1532.41,3785.21,909.75,12417.61,2875.77,5959.41,1273.36,39572.93
2021-02-07 21:00:00,2021-02-07 22:00:00,10737.98,1558.07,3775.25,904.21,12435.1,2863.77,5870.29,1302.57,39447.24
2021-02-07 22:00:00,2021-02-07 23:00:00,10462.73,1522.55,3759.57,861.73,11989.46,2814.17,5636.23,1257.83,38304.27
2021-02-07 23:00:00,2021-02-08 00:00:00,10046.17,1444.57,3731.26,823.4,11342.44,2624.99,5255.67,1175.49,36444.01
2021-02-08 00:00:00,2021-02-08 01:00:00,9740.62,1411.36,3724.42,798.93,10869.71,2459.03,4978.92,1116.69,35099.67
2021-02-08 01:00:00,2021-02-08 02:00:00,9583.02,1394.43,3727.33,798.16,10648.83,2356.99,4833.44,1068.75,34410.95
2021-02-08 02:00:00,2021-02-08 03:00:00,9525.47,1401.6,3735.78,808.16,10582.32,2306.22,4801.72,1067.84,34229.11
2021-02-08 03:00:00,2021-02-08 04:00:00,9561.17,1419.79,3761.24,842.77,10625.24,2247.7,4844.63,1032.41,34334.95
2021-02-08 04:00:00,2021-02-08 05:00:00,9758.18,1476.58,3807.09,839.52,10906.75,2254.46,5000.69,1048.95,35092.24
2021-02-08 05:00:00,2021-02-08 06:00:00,10245.43,1576.97,3873.5,891.11,11591.58,2351.31,5376.07,1061.23,36967.21
2021-02-08 06:00:00,2021-02-08 07:00:00,10943.8,1753.38,3986.37,975.97,12703.6,2540.54,5970.76,1096.02,39970.44
2021-02-08 07:00:00,2021-02-08 08:00:00,11275.91,1813.24,4057.46,1022.51,13398.32,2638.82,6338.59,1101.42,41646.27
2021-02-08 08:00:00,2021-02-08 09:00:00,11320.17,1788.16,4001.3,1049.19,13468.19,2700.24,6411.73,1075.43,41814.41
2021-02-08 09:00:00,2021-02-08 10:00:00,11341.46,1729.91,3841.68,1040.73,13516.03,2761.84,6400.0,1170.83,41802.48
2021-02-08 10:00:00,2021-02-08 11:00:00,11361.64,1660.09,3759.18,1023.75,13465.01,2837.67,6353.8,1188.23,41649.38
