timestamp_begin_et,timestamp_end_et,CT,ME,NH,NEMA,RI,SEMA,VT,WCMA,System Total
2021-03-11 00:00:00,2021-03-11 01:00:00,2499.629,1089.931,1030.757,2128.817,704.732,1254.254,537.127,1507.801,10753.048
2021-03-11 01:00:00,2021-03-11 02:00:00,2428.065,1068.515,1005.268,2068.527,682.634,1213.793,522.914,1466.173,10455.889
2021-03-11 02:00:00,2021-03-11 03:00:00,2391.514,1051.769,1002.732,2042.049,673.9,1199.646,515.348,1447.209,10324.167
2021-03-11 03:00:00,2021-03-11 04:00:00,2384.144,1067.141,1002.489,2051.16,672.551,1203.84,515.944,1450.381,10347.65
2021-03-11 04:00:00,2021-03-11 05:00:00,2446.046,1103.095,1040.685,2116.852,691.052,1242.427,530.244,1500.367,10670.768
2021-03-11 05:00:00,2021-03-11 06:00:00,2640.614,1202.916,1140.205,2269.813,742.344,1344.776,573.96,1606.735,11521.363
2021-03-11 06:00:00,2021-03-11 07:00:00,2940.388,1334.078,1274.313,2474.985,807.284,1465.295,643.245,1766.559,12706.147
2021-03-11 07:00:00,2021-03-11 08:00:00,3172.707,1400.659,1361.288,2630.129,863.54,1511.81,665.002,1889.952,13495.087
2021-03-11 08:00:00,2021-03-11 09:00:00,3235.369,1420.188,1377.797,2691.834,898.811,1558.157,606.231,1885.47,13673.857
2021-03-11 09:00:00,2021-03-11 10:00:00,3101.984,1401.455,1353.159,2649.767,905.851,1536.624,537.759,1844.638,13331.237
2021-03-11 10:00:00,2021-03-11 11:00:00,2877.854,1371.286,1347.681,2699.559,893.629,1509.28,485.202,1731.276,12915.767
2021-03-11 11:00:00,2021-03-11 12:00:00,2784.749,1355.266,1333.388,2663.619,876.444,1476.533,463.11,1646.104,12599.213
2021-03-11 12:00:00,2021-03-11 13:00:00,2725.552,1306.399,1283.297,2598.248,854.919,1379.569,423.838,1559.15,12130.972
2021-03-11 13:00:00,2021-03-11 14:00:00,2725.727,1279.465,1264.051,2523.306,842.648,1307.326,415.08,1519.427,11877.03
2021-03-11 14:00:00,2021-03-11 15:00:00,2748.057,1265.306,1248.862,2521.994,824.471,1298.579,445.987,1549.95,11903.206
2021-03-11 15:00:00,2021-03-11 16:00:00,2825.84,1268.415,1258.793,2564.344,819.453,1380.619,514.916,1631.154,12263.534
2021-03-11 16:00:00,2021-03-11 17:00:00,2938.307,1310.46,1295.691,2603.601,839.608,1480.292,599.157,1753.763,12820.879
2021-03-11 17:00:00,2021-03-11 18:00:00,3148.619,1402.674,1363.635,2667.102,881.38,1617.011,678.745,1875.048,13634.214
2021-03-11 18:00:00,2021-03-11 19:00:00,3345.901,1455.845,1431.658,2749.417,928.986,1718.706,713.036,1967.495,14311.044
2021-03-11 19:00:00,2021-03-11 20:00:00,3268.354,1402.363,1385.613,2676.591,910.0,1672.685,693.135,1914.47,13923.211
2021-03-11 20:00:00,2021-03-11 21:00:00,3119.147,1320.375,1308.749,2557.143,864.012,1584.633,658.247,1825.148,13237.454
2021-03-11 21:00:00,2021-03-11 22:00:00,2907.913,1209.469,1201.656,2409.487,812.668,1474.706,629.435,1712.897,12358.231
2021-03-11 22:00:00,2021-03-11 23:00:00,2662.815,1115.338,1097.828,2242.483,751.378,1341.026,582.804,1579.02,11372.692
2021-03-11 23:00:00,2021-03-12 00:00:00,2434.783,1030.801,1016.834,2086.481,693.68,1230.396,534.567,1464.853,10492.395
2021-03-12 00:00:00,2021-03-12 01:00:00,2285.202,1002.978,959.814,1985.302,656.742,1157.483,506.842,1389.341,9943.704
2021-03-12 01:00:00,2021-03-12 02:00:00,2201.174,981.517,929.453,1916.593,630.455,1117.055,489.963,1345.86,9612.07
2021-03-12 02:00:00,2021-03-12 03:00:00,2152.332,972.629,914.014,1878.916,619.12,1094.143,483.926,1321.536,9436.616
2021-03-12 03:00:00,2021-03-12 04:00:00,2138.935,972.739,918.102,1875.702,615.67,1091.186,483.612,1317.968,9413.914
2021-03-12 04:00:00,2021-03-12 05:00:00,2191.329,1014.856,949.767,1927.537,630.535,1124.926,500.106,1361.079,9700.135
2021-03-12 05:00:00,2021-03-12 06:00:00,2380.902,1100.082,1041.258,2069.918,674.364,1223.636,543.705,1474.282,10508.147
2021-03-12 06:00:00,2021-03-12 07:00:00,2671.886,1226.041,1164.255,2267.101,742.15,1360.272,601.677,1613.36,11646.742
2021-03-12 07:00:00,2021-03-12 08:00:00,2854.26,1284.735,1238.348,2390.78,806.225,1461.633,564.723,1641.737,12242.441
2021-03-12 08:00:00,2021-03-12 09:00:00,2807.688,1315.454,1255.422,2410.293,824.674,1432.364,468.37,1568.816,12083.081
2021-03-12 09:00:00,2021-03-12 10:00:00,2715.226,1303.891,1250.837,2399.508,811.585,1306.551,390.985,1497.38,11675.963
2021-03-12 10:00:00,2021-03-12 11:00:00,2672.105,1300.178,1247.528,2376.019,814.949,1243.47,355.657,1451.629,11461.535
2021-03-12 11:00:00,2021-03-12 12:00:00,2632.316,1281.818,1238.988,2375.81,814.079,1224.906,339.005,1432.879,11339.801
2021-03-12 12:00:00,2021-03-12 13:00:00,2608.543,1256.048,1219.876,2374.147,807.699,1203.736,326.231,1422.19,11218.47
2021-03-12 13:00:00,2021-03-12 14:00:00,2598.943,1235.071,1208.788,2367.839,804.189,1213.762,322.417,1420.693,11171.702
2021-03-12 14:00:00,2021-03-12 15:00:00,2625.999,1222.286,1193.635,2377.446,794.679,1233.636,348.47,1446.997,11243.148
2021-03-12 15:00:00,2021-03-12 16:00:00,2690.337,1227.577,1200.86,2408.164,787.061,1304.563,431.145,1520.532,11570.239
2021-03-12 16:00:00,2021-03-12 17:00:00,2837.221,1273.067,1240.1,2480.655,803.313,1407.743,563.371,1658.846,12264.316
2021-03-12 17:00:00,2021-03-12 18:00:00,3013.986,1340.921,1312.574,2574.742,837.395,1535.651,666.493,1804.266,13086.028
2021-03-12 18:00:00,2021-03-12 19:00:00,3184.072,1389.217,1371.132,2641.373,877.585,1623.829,700.724,1891.926,13679.858
2021-03-12 19:00:00,2021-03-12 20:00:00,3119.813,1348.505,1320.414,2578.546,862.329,1586.466,680.97,1848.579,13345.622
2021-03-12 20:00:00,2021-03-12 21:00:00,2997.055,1284.316,1260.915,2478.907,821.935,1516.359,645.684,1781.107,12786.278
2021-03-12 21:00:00,2021-03-12 22:00:00,2843.385,1210.083,1185.27,2363.116,782.95,1426.47,627.097,1704.791,12143.162
2021-03-12 22:00:00,2021-03-12 23:00:00,2660.667,1124.362,1097.089,2241.284,733.96,1321.317,597.551,1605.407,11381.637
2021-03-12 23:00:00,2021-03-13 00:00:00,2470.527,1061.939,1027.667,2120.427,690.762,1229.15,562.519,1509.366,10672.357
2021-03-13 00:00:00,2021-03-13 01:00:00,2343.332,1022.411,984.162,2036.696,653.491,1166.335,542.764,1449.039,10198.230
2021-03-13 01:00:00,2021-03-13 02:00:00,2283.33,1002.18,967.774,1990.042,637.592,1136.662,533.66,1422.724,9973.964
2021-03-13 02:00:00,2021-03-13 03:00:00,2273.709,1002.658,966.984,1970.659,634.459,1131.265,528.886,1414.858,9923.478
2021-03-13 03:00:00,2021-03-13 04:00:00,2309.674,1023.212,974.15,1986.857,635.865,1145.005,529.284,1429.333,10033.38
