timestamp_begin_est,timestamp_end_est,LRZ 1,"LRZ 2, 7","LRZ 3, 5",LRZ 4,LRZ 6,"LRZ 8, 9, 10",System Total
2021-02-10 00:00:00,2021-02-10 01:00:00,12666.88,18226.97,11946.48,6142.86,11895.84,16980.94,77859.97
2021-02-10 01:00:00,2021-02-10 02:00:00,12307.57,17785.44,11774.42,6016.02,11716.46,16611.19,76211.1
2021-02-10 02:00:00,2021-02-10 03:00:00,12065.63,17582.4,11677.73,5940.12,11694.35,16334.83,75295.06
2021-02-10 03:00:00,2021-02-10 04:00:00,12008.05,17527.62,11612.51,5994.92,11774.15,16246.96,75164.21
2021-02-10 04:00:00,2021-02-10 05:00:00,11980.98,17753.76,11610.21,5995.74,12020.58,16382.56,75743.83
2021-02-10 05:00:00,2021-02-10 06:00:00,12167.8,18395.93,11825.67,6115.76,12451.83,16562.42,77519.41
2021-02-10 06:00:00,2021-02-10 07:00:00,12664.64,19594.9,12306.47,6314.73,12964.07,17560.88,81405.69
2021-02-10 07:00:00,2021-02-10 08:00:00,13415.04,20949.98,12972.24,6667.68,13524.32,18995.61,86524.87
2021-02-10 08:00:00,2021-02-10 09:00:00,13914.06,21547.5,13481.92,6855.67,13626.89,19422.68,88848.72
2021-02-10 09:00:00,2021-02-10 10:00:00,13839.03,21828.76,13645.43,6947.27,13747.29,19544.51,89552.29
2021-02-10 10:00:00,2021-02-10 11:00:00,13443.2,21891.25,13649.72,6963.1,13851.21,19645.1,89443.58
2021-02-10 11:00:00,2021-02-10 12:00:00,13187.44,21833.08,13635.3,6967.22,13749.18,19567.22,88939.44
2021-02-10 12:00:00,2021-02-10 13:00:00,12989.18,21650.18,13504.9,6911.79,13674.19,19460.34,88190.58
2021-02-10 13:00:00,2021-02-10 14:00:00,12852.31,21493.98,13340.18,6874.59,13625.34,19287.85,87474.25
2021-02-10 14:00:00,2021-02-10 15:00:00,12773.18,21326.51,13200.94,6802.89,13505.79,19327.37,86936.68
2021-02-10 15:00:00,2021-02-10 16:00:00,12653.22,21013.79,13061.18,6738.19,13438.02,19321.29,86225.69
2021-02-10 16:00:00,2021-02-10 17:00:00,12708.41,20854.99,12996.09,6678.91,13401.74,19315.44,85955.58
2021-02-10 17:00:00,2021-02-10 18:00:00,13132.03,21022.32,13139.01,6707.69,13558.19,19585.74,87144.98
2021-02-10 18:00:00,2021-02-10 19:00:00,13769.32,21713.05,13498.72,6896.13,13904.26,19987.5,89768.98
2021-02-10 19:00:00,2021-02-10 20:00:00,14148.99,21708.16,13695.4,6949.74,13940.56,20581.41,91024.26
2021-02-10 20:00:00,2021-02-10 21:00:00,14057.99,21210.6,13501.37,6853.9,13742.34,20538.31,89904.51
2021-02-10 21:00:00,2021-02-10 22:00:00,13821.0,20477.62,13111.46,6749.32,13403.37,20191.46,87754.23
2021-02-10 22:00:00,2021-02-10 23:00:00,13406.44,19564.53,12807.0,6523.26,12907.94,19655.13,84864.3
2021-02-10 23:00:00,2021-02-11 00:00:00,13076.68,18588.53,12307.36,6324.24,12523.57,18696.94,81517.32
2021-02-11 00:00:00,2021-02-11 01:00:00,12806.85,17938.19,11933.8,6122.44,12259.08,18032.5,79092.86
2021-02-11 01:00:00,2021-02-11 02:00:00,12504.31,17567.66,11760.52,6015.28,12096.7,17526.73,77471.2
2021-02-11 02:00:00,2021-02-11 03:00:00,12285.49,17364.22,11714.26,5975.58,12076.26,17285.53,76701.34
