timestamp_begin_et,timestamp_end_et,ZONE G,ZONE F,ZONE E,ZONE A,ZONE B,ZONE C,ZONE D,ZONE H,ZONE I,ZONE K,ZONE J,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,1281.00,1572,1056,1805,1229,2024,687,417.00,742.00,2714.00,5875.00,19402
2021-01-01 01:00:00,2021-01-01 02:00:00,1232.00,1513,1026,1782,1186,1936,675,411.00,715.00,2611.00,5721.00,18808
2021-01-01 02:00:00,2021-01-01 03:00:00,1188.00,1457,997,1744,1146,1874,665,393.00,692.00,2506.00,5543.00,18205
2021-01-01 03:00:00,2021-01-01 04:00:00,1146.00,1393,953,1695,1103,1828,653,370.00,671.00,2397.00,5368.00,17577
2021-01-01 04:00:00,2021-01-01 05:00:00,1095.00,1334,913,1656,1062,1753,646,357.00,645.00,2281.00,5186.00,16928
2021-01-01 05:00:00,2021-01-01 06:00:00,1044.00,1275,874,1592,1027,1691,643,345.00,619.00,2174.00,4987.00,16271
2021-01-01 06:00:00,2021-01-01 07:00:00,1000.00,1226,835,1521,974,1648,635,313.00,601.00,2045.00,4789.00,15587
2021-01-01 07:00:00,2021-01-01 08:00:00,958.00,1194,803,1466,931,1606,631,306.00,577.00,1932.00,4606.00,15010
2021-01-01 08:00:00,2021-01-01 09:00:00,928.00,1171,796,1431,911,1572,616,301.00,558.00,1846.00,4466.00,14596
2021-01-01 09:00:00,2021-01-01 10:00:00,913.00,1165,795,1414,899,1554,614,294.00,546.00,1794.00,4362.00,14350
2021-01-01 10:00:00,2021-01-01 11:00:00,916.00,1180,798,1427,900,1562,617,297.00,543.00,1791.00,4335.00,14366
2021-01-01 11:00:00,2021-01-01 12:00:00,936.00,1212,815,1434,929,1604,618,303.00,541.00,1818.00,4396.00,14606
2021-01-01 12:00:00,2021-01-01 13:00:00,965.00,1251,850,1466,961,1654,629,314.00,556.00,1866.00,4496.00,15008
2021-01-01 13:00:00,2021-01-01 14:00:00,993.00,1277,876,1497,987,1692,632,321.00,566.00,1883.00,4585.00,15309
2021-01-01 14:00:00,2021-01-01 15:00:00,1002.00,1278,894,1511,996,1718,641,328.00,573.00,1872.00,4685.00,15498
2021-01-01 15:00:00,2021-01-01 16:00:00,1002.00,1261,902,1554,1019,1746,648,333.00,577.00,1865.00,4783.00,15690
2021-01-01 16:00:00,2021-01-01 17:00:00,1015.00,1264,910,1606,1064,1777,652,346.00,589.00,1881.00,4903.00,16007
2021-01-01 17:00:00,2021-01-01 18:00:00,1053.00,1294,928,1629,1087,1823,665,369.00,614.00,2030.00,5074.00,16566
2021-01-01 18:00:00,2021-01-01 19:00:00,1072.00,1340,937,1649,1098,1833,657,377.00,625.00,2132.00,5154.00,16874
2021-01-01 19:00:00,2021-01-01 20:00:00,1094.00,1347,943,1664,1113,1845,658,386.00,628.00,2171.00,5198.00,17047
2021-01-01 20:00:00,2021-01-01 21:00:00,1122.00,1369,941,1683,1135,1866,656,383.00,638.00,2212.00,5242.00,17247
2021-01-01 21:00:00,2021-01-01 22:00:00,1148.00,1414,962,1707,1159,1896,663,398.00,650.00,2291.00,5306.00,17594
2021-01-01 22:00:00,2021-01-01 23:00:00,1215.00,1500,1009,1765,1209,1979,681,415.00,686.00,2474.00,5457.00,18390
2021-01-01 23:00:00,2021-01-02 00:00:00,1264.00,1562,1041,1827,1240,2026,691,428.00,716.00,2629.00,5575.00,18999
2021-01-02 00:00:00,2021-01-02 01:00:00,1250.00,1538,1045,1810,1220,2007,677,430.00,714.00,2600.00,5541.00,18832
2021-01-02 01:00:00,2021-01-02 02:00:00,1216.00,1500,1037,1771,1188,1977,672,428.00,704.00,2534.00,5483.00,18510
2021-01-02 02:00:00,2021-01-02 03:00:00,1173.00,1453,1021,1743,1154,1920,663,424.00,687.00,2462.00,5389.00,18089
2021-01-02 03:00:00,2021-01-02 04:00:00,1130.00,1393,987,1709,1119,1848,649,396.00,667.00,2360.00,5299.00,17557
2021-01-02 04:00:00,2021-01-02 05:00:00,1075.00,1321,951,1625,1050,1763,637,357.00,632.00,2209.00,5119.00,16739
2021-01-02 05:00:00,2021-01-02 06:00:00,1006.00,1244,887,1528,996,1691,629,334.00,595.00,2042.00,4897.00,15849
2021-01-02 06:00:00,2021-01-02 07:00:00,950.00,1179,835,1465,960,1648,628,304.00,566.00,1893.00,4666.00,15094
2021-01-02 07:00:00,2021-01-02 08:00:00,918.00,1144,802,1431,930,1617,620,284.00,545.00,1786.00,4502.00,14579
2021-01-02 08:00:00,2021-01-02 09:00:00,893.00,1119,784,1402,910,1591,611,274.00,525.00,1720.00,4378.00,14207
2021-01-02 09:00:00,2021-01-02 10:00:00,883.00,1120,791,1397,904,1577,610,272.00,515.00,1672.00,4292.00,14033
2021-01-02 10:00:00,2021-01-02 11:00:00,882.00,1136,790,1400,906,1596,611,273.00,513.00,1665.00,4253.00,14025
2021-01-02 11:00:00,2021-01-02 12:00:00,899.00,1161,809,1417,927,1600,616,275.00,522.00,1690.00,4296.00,14212
2021-01-02 12:00:00,2021-01-02 13:00:00,929.00,1201,855,1455,968,1662,627,286.00,539.00,1752.00,4424.00,14698
2021-01-02 13:00:00,2021-01-02 14:00:00,963.00,1248,883,1503,1012,1716,643,299.00,555.00,1824.00,4565.00,15211
2021-01-02 14:00:00,2021-01-02 15:00:00,991.00,1292,878,1538,1044,1766,660,310.00,567.00,1917.00,4723.00,15686
2021-01-02 15:00:00,2021-01-02 16:00:00,1016.00,1338,934,1589,1081,1821,665,320.00,574.00,1900.00,4816.00,16054
2021-01-02 16:00:00,2021-01-02 17:00:00,1018.00,1377,948,1612,1106,1871,665,325.00,586.00,1838.00,4908.00,16254
2021-01-02 17:00:00,2021-01-02 18:00:00,975.00,1381,956,1635,1115,1903,661,330.00,598.00,1881.00,4985.00,16420
2021-01-02 18:00:00,2021-01-02 19:00:00,975.00,1318,957,1637,1104,1910,659,330.00,594.00,1850.00,5021.00,16355
2021-01-02 19:00:00,2021-01-02 20:00:00,949.00,1288,944,1645,1086,1906,658,342.00,593.00,1883.00,5048.00,16342
2021-01-02 20:00:00,2021-01-02 21:00:00,953.00,1280,930,1642,1080,1882,662,339.00,590.00,1931.00,5026.00,16315
