timestamp_begin_ct,timestamp_end_ct,OKGE,MPS,INDN,WR,WFEC,LES,NPPD,SPS,SPRM,KCPL,WAUE,GRDA,OPPD,CSWS,EDE,SECI,KACY,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,4292.00,1191.00,143.00,3695.00,1397.00,440.00,1969.00,3643.00,410.00,2080.00,4035.00,741.00,1565.00,6133,769,593.00,270.00,33366
2021-01-01 01:00:00,2021-01-01 02:00:00,4300.00,1185.00,141.00,3722.00,1403.00,440.00,2002.00,3739.00,403.00,2080.00,4003.00,741.00,1563.00,6079,760,600.00,271.00,33432
2021-01-01 02:00:00,2021-01-01 03:00:00,4246.00,1159.00,138.00,3652.00,1376.00,426.00,1958.00,3713.00,390.00,2040.00,3922.00,737.00,1520.00,5974,745,595.00,269.00,32860
2021-01-01 03:00:00,2021-01-01 04:00:00,4180.00,1137.00,134.00,3572.00,1353.00,415.00,1912.00,3666.00,380.00,1993.00,3874.00,733.00,1488.00,5841,731,581.00,264.00,32254
2021-01-01 04:00:00,2021-01-01 05:00:00,4080.00,1127.00,129.00,3502.00,1323.00,401.00,1888.00,3630.00,370.00,1946.00,3814.00,722.00,1446.00,5694,721,561.00,259.00,31613
2021-01-01 05:00:00,2021-01-01 06:00:00,3965.00,1090.00,125.00,3422.00,1294.00,385.00,1842.00,3576.00,358.00,1883.00,3795.00,711.00,1399.00,5485,701,547.00,254.00,30832
2021-01-01 06:00:00,2021-01-01 07:00:00,3858.00,1064.00,121.00,3332.00,1250.00,372.00,1808.00,3541.00,348.00,1827.00,3757.00,729.00,1357.00,5275,688,534.00,250.00,30111
2021-01-01 07:00:00,2021-01-01 08:00:00,3750.00,1038.00,118.00,3272.00,1206.00,360.00,1781.00,3538.00,339.00,1775.00,3663.00,740.00,1319.00,5142,682,531.00,247.00,29501
2021-01-01 08:00:00,2021-01-01 09:00:00,3648.00,1022.00,115.00,3246.00,1184.00,356.00,1778.00,3495.00,323.00,1740.00,3612.00,736.00,1293.00,5045,659,541.00,245.00,29038
2021-01-01 09:00:00,2021-01-01 10:00:00,3600.00,1017.00,113.00,3211.00,1180.00,354.00,1763.00,3479.00,310.00,1719.00,3596.00,727.00,1281.00,4943,651,543.00,241.00,28728
2021-01-01 10:00:00,2021-01-01 11:00:00,3570.00,1018.00,113.00,3205.00,1179.00,357.00,1787.00,3494.00,305.00,1727.00,3608.00,723.00,1282.00,4896,642,551.00,239.00,28696
2021-01-01 11:00:00,2021-01-01 12:00:00,3575.00,1027.00,113.00,3218.00,1180.00,365.00,1843.00,3492.00,302.00,1749.00,3626.00,727.00,1301.00,4942,638,559.00,239.00,28896
