timestamp_begin_et,timestamp_end_et,SEMA,NEMA,WCMA,RI,CT,NH,ME,VT,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 01:00:00,2021-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 02:00:00,2021-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 03:00:00,2021-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 04:00:00,2021-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 05:00:00,2021-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 06:00:00,2021-01-01 07:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 07:00:00,2021-01-01 08:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 08:00:00,2021-01-01 09:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 09:00:00,2021-01-01 10:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 10:00:00,2021-01-01 11:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 11:00:00,2021-01-01 12:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-01 12:00:00,2021-01-01 13:00:00,32.61,5.79,18.68,7.56,23.68,3.15,24.14,2.45,118.05
2021-01-01 13:00:00,2021-01-01 14:00:00,342.39,95.71,377.76,98.62,345.89,52.78,334.68,30.36,1678.18
2021-01-01 14:00:00,2021-01-01 15:00:00,766.80,325.87,954.41,256.88,783.19,171.36,642.46,95.80,3996.77
2021-01-01 15:00:00,2021-01-01 16:00:00,910.04,512.64,1097.89,412.31,959.73,202.20,849.00,186.33,5130.15
2021-01-01 16:00:00,2021-01-01 17:00:00,856.49,477.55,983.73,350.51,862.99,224.27,1008.16,214.53,4978.25
2021-01-01 17:00:00,2021-01-01 18:00:00,685.08,379.62,810.90,276.04,627.90,204.73,1005.74,171.42,4161.43
2021-01-01 18:00:00,2021-01-01 19:00:00,452.77,209.52,568.46,171.39,381.76,119.74,765.17,155.33,2824.13
2021-01-01 19:00:00,2021-01-01 20:00:00,265.69,119.40,279.81,99.92,158.95,55.53,433.51,89.92,1502.73
2021-01-01 20:00:00,2021-01-01 21:00:00,87.66,40.83,84.28,37.85,70.64,18.92,110.89,33.29,484.37
2021-01-01 21:00:00,2021-01-01 22:00:00,5.75,2.83,5.72,2.51,4.32,0.69,2.57,0.97,25.36
