timestamp_begin_et,timestamp_end_et,MIDATL,OTHER,RFC,RTO,SOUTH,WEST,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,2.147,-0.12,1.874,-1.019,-2.893,-0.273,-0.284
2021-01-01 01:00:00,2021-01-01 02:00:00,2.135,-0.02,1.862,-1.15,-3.012,-0.273,-0.458
2021-01-01 02:00:00,2021-01-01 03:00:00,2.13,-0.12,1.854,-1.211,-3.065,-0.276,-0.688
2021-01-01 03:00:00,2021-01-01 04:00:00,2.125,-0.02,1.859,-1.085,-2.944,-0.266,-0.331
2021-01-01 04:00:00,2021-01-01 05:00:00,2.105,-0.02,1.839,-1.34,-3.179,-0.266,-0.861
2021-01-01 05:00:00,2021-01-01 06:00:00,2.12,-0.12,1.833,-1.216,-3.049,-0.287,-0.719
2021-01-01 06:00:00,2021-01-01 07:00:00,2.168,-0.019,1.888,-1.046,-2.934,-0.28,-0.223
2021-01-01 07:00:00,2021-01-01 08:00:00,17.46,0.278,17.264,20.903,3.639,-0.196,59.348
2021-01-01 08:00:00,2021-01-01 09:00:00,92.934,2.301,95.489,162.884,67.395,2.555,423.558
2021-01-01 09:00:00,2021-01-01 10:00:00,187.25,4.844,194.989,344.352,149.363,7.739,888.537
2021-01-01 10:00:00,2021-01-01 11:00:00,158.206,5.057,178.491,356.255,177.764,20.285,896.058
2021-01-01 11:00:00,2021-01-01 12:00:00,141.946,4.618,158.202,379.477,221.275,16.256,921.774
2021-01-01 12:00:00,2021-01-01 13:00:00,109.579,4.575,128.317,337.344,209.027,18.738,807.580
2021-01-01 13:00:00,2021-01-01 14:00:00,77.299,4.206,88.036,232.183,144.147,10.737,556.608
2021-01-01 14:00:00,2021-01-01 15:00:00,33.672,2.126,40.617,123.345,82.728,6.945,289.433
2021-01-01 15:00:00,2021-01-01 16:00:00,13.737,0.529,18.548,52.724,34.176,4.811,124.525
2021-01-01 16:00:00,2021-01-01 17:00:00,-0.633,-0.013,-0.292,3.913,4.205,0.341,7.521
2021-01-01 17:00:00,2021-01-01 18:00:00,-1.336,-0.021,-1.659,-5.129,-3.47,-0.323,-11.938
2021-01-01 18:00:00,2021-01-01 19:00:00,-1.285,-0.019,-1.59,-4.84,-3.25,-0.305,-11.289
2021-01-01 19:00:00,2021-01-01 20:00:00,-1.307,-0.119,-1.601,-4.897,-3.296,-0.294,-11.514
2021-01-01 20:00:00,2021-01-01 21:00:00,-1.309,-0.019,-1.619,-4.933,-3.314,-0.31,-11.504
2021-01-01 21:00:00,2021-01-01 22:00:00,-1.346,-0.119,-1.647,-4.921,-3.274,-0.301,-11.608
2021-01-01 22:00:00,2021-01-01 23:00:00,-1.324,-0.02,-1.612,-4.765,-3.153,-0.288,-11.162
