timestamp_begin_pt,timestamp_end_pt,NP15,SP15,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,179.27404,646.89379,826.16783
2021-01-01 01:00:00,2021-01-01 02:00:00,97.43401,833.29945,930.73346
2021-01-01 02:00:00,2021-01-01 03:00:00,41.32052,964.35413,1005.67465
2021-01-01 03:00:00,2021-01-01 04:00:00,20.3719,791.57957,811.95147
2021-01-01 04:00:00,2021-01-01 05:00:00,43.17521,821.80986,864.98507
2021-01-01 05:00:00,2021-01-01 06:00:00,33.19816,557.64555,590.84371
2021-01-01 06:00:00,2021-01-01 07:00:00,19.62017,341.81149,361.43166
2021-01-01 07:00:00,2021-01-01 08:00:00,20.89393,386.78452,407.67845
2021-01-01 08:00:00,2021-01-01 09:00:00,13.97375,426.69362,440.66737
2021-01-01 09:00:00,2021-01-01 10:00:00,6.47187,445.80949,452.28136
2021-01-01 10:00:00,2021-01-01 11:00:00,2.57636,286.60112,289.17748
2021-01-01 11:00:00,2021-01-01 12:00:00,5.66457,322.6829,328.34747
2021-01-01 12:00:00,2021-01-01 13:00:00,17.23152,325.40399,342.63551
2021-01-01 13:00:00,2021-01-01 14:00:00,29.87368,262.53413,292.40781
2021-01-01 14:00:00,2021-01-01 15:00:00,68.84533,159.99736,228.84269
2021-01-01 15:00:00,2021-01-01 16:00:00,89.33444,75.5145,164.84894
2021-01-01 16:00:00,2021-01-01 17:00:00,88.56303,31.65592,120.21895
2021-01-01 17:00:00,2021-01-01 18:00:00,87.30774,18.42085,105.72859
2021-01-01 18:00:00,2021-01-01 19:00:00,116.40578,25.8663,142.27208
2021-01-01 19:00:00,2021-01-01 20:00:00,130.72065,36.97026,167.69091
2021-01-01 20:00:00,2021-01-01 21:00:00,87.91831,29.00203,116.92034
2021-01-01 21:00:00,2021-01-01 22:00:00,61.11186,17.10799,78.21985
2021-01-01 22:00:00,2021-01-01 23:00:00,37.97526,73.28175,111.25701
2021-01-01 23:00:00,2021-01-02 00:00:00,36.02858,162.40732,198.43590
2021-01-02 00:00:00,2021-01-02 01:00:00,34.0651,266.56688,300.63198
2021-01-02 01:00:00,2021-01-02 02:00:00,39.17451,295.689,334.86351
2021-01-02 02:00:00,2021-01-02 03:00:00,33.2498,387.58259,420.83239
2021-01-02 03:00:00,2021-01-02 04:00:00,16.4114,198.16607,214.57747
2021-01-02 04:00:00,2021-01-02 05:00:00,19.31198,374.38814,393.70012
2021-01-02 05:00:00,2021-01-02 06:00:00,32.73257,647.74492,680.47749
2021-01-02 06:00:00,2021-01-02 07:00:00,30.76916,659.36239,690.13155
2021-01-02 07:00:00,2021-01-02 08:00:00,24.59414,668.23963,692.83377
2021-01-02 08:00:00,2021-01-02 09:00:00,25.31857,668.13091,693.44948
2021-01-02 09:00:00,2021-01-02 10:00:00,15.74736,564.33892,580.08628
2021-01-02 10:00:00,2021-01-02 11:00:00,25.75139,544.00115,569.75254
2021-01-02 11:00:00,2021-01-02 12:00:00,78.38333,778.30715,856.69048
2021-01-02 12:00:00,2021-01-02 13:00:00,146.20013,1056.48171,1202.68184
2021-01-02 13:00:00,2021-01-02 14:00:00,108.88438,1451.2889,1560.17328
2021-01-02 14:00:00,2021-01-02 15:00:00,41.68857,1171.65396,1213.34253
2021-01-02 15:00:00,2021-01-02 16:00:00,27.60817,991.11682,1018.72499
2021-01-02 16:00:00,2021-01-02 17:00:00,18.88418,899.98415,918.86833
2021-01-02 17:00:00,2021-01-02 18:00:00,19.60576,806.65876,826.26452
2021-01-02 18:00:00,2021-01-02 19:00:00,22.92763,809.49453,832.42216
2021-01-02 19:00:00,2021-01-02 20:00:00,32.94291,992.18392,1025.12683
2021-01-02 20:00:00,2021-01-02 21:00:00,45.32691,1086.23429,1131.56120
2021-01-02 21:00:00,2021-01-02 22:00:00,42.36374,1482.16682,1524.53056
2021-01-02 22:00:00,2021-01-02 23:00:00,45.9744,1651.98011,1697.95451
2021-01-02 23:00:00,2021-01-03 00:00:00,57.4793,1538.22788,1595.70718
2021-01-03 00:00:00,2021-01-03 01:00:00,49.21592,1244.56024,1293.77616
2021-01-03 01:00:00,2021-01-03 02:00:00,51.65096,1223.42186,1275.07282
2021-01-03 02:00:00,2021-01-03 03:00:00,58.56712,1369.87055,1428.43767
2021-01-03 03:00:00,2021-01-03 04:00:00,55.84285,1595.52108,1651.36393
2021-01-03 04:00:00,2021-01-03 05:00:00,65.12601,1412.34854,1477.47455
2021-01-03 05:00:00,2021-01-03 06:00:00,110.87594,1560.7954,1671.67134
2021-01-03 06:00:00,2021-01-03 07:00:00,127.74242,1951.51315,2079.25557
2021-01-03 07:00:00,2021-01-03 08:00:00,103.59929,1888.09474,1991.69403
2021-01-03 08:00:00,2021-01-03 09:00:00,83.76318,1488.67435,1572.43753
2021-01-03 09:00:00,2021-01-03 10:00:00,62.63382,1047.85948,1110.49330
2021-01-03 10:00:00,2021-01-03 11:00:00,82.12912,431.48709,513.61621
2021-01-03 11:00:00,2021-01-03 12:00:00,101.09578,228.04992,329.14570
2021-01-03 12:00:00,2021-01-03 13:00:00,74.88499,160.94725,235.83224
2021-01-03 13:00:00,2021-01-03 14:00:00,54.68522,96.30026,150.98548
2021-01-03 14:00:00,2021-01-03 15:00:00,48.39951,67.89472,116.29423
2021-01-03 15:00:00,2021-01-03 16:00:00,31.8078,88.08047,119.88827
2021-01-03 16:00:00,2021-01-03 17:00:00,32.85494,98.53769,131.39263
2021-01-03 17:00:00,2021-01-03 18:00:00,32.18566,29.89461,62.08027
2021-01-03 18:00:00,2021-01-03 19:00:00,23.07077,25.33802,48.40879
2021-01-03 19:00:00,2021-01-03 20:00:00,30.29927,30.58179,60.88106
2021-01-03 20:00:00,2021-01-03 21:00:00,31.30774,78.04616,109.35390
2021-01-03 21:00:00,2021-01-03 22:00:00,37.48156,87.93854,125.42010
2021-01-03 22:00:00,2021-01-03 23:00:00,34.6607,84.85648,119.51718
2021-01-03 23:00:00,2021-01-04 00:00:00,59.7699,68.55901,128.32891
2021-01-04 00:00:00,2021-01-04 01:00:00,90.88614,67.74952,158.63566
2021-01-04 01:00:00,2021-01-04 02:00:00,93.54294,45.59049,139.13343
2021-01-04 02:00:00,2021-01-04 03:00:00,80.75412,29.41441,110.16853
2021-01-04 03:00:00,2021-01-04 04:00:00,168.73422,14.33053,183.06475
2021-01-04 04:00:00,2021-01-04 05:00:00,77.37756,11.54454,88.92210
2021-01-04 05:00:00,2021-01-04 06:00:00,225.62192,14.10556,239.72748
2021-01-04 06:00:00,2021-01-04 07:00:00,353.18064,95.95359,449.13423
2021-01-04 07:00:00,2021-01-04 08:00:00,460.76885,213.73697,674.50582
2021-01-04 08:00:00,2021-01-04 09:00:00,490.13442,146.35009,636.48451
2021-01-04 09:00:00,2021-01-04 10:00:00,670.84573,178.07758,848.92331
2021-01-04 10:00:00,2021-01-04 11:00:00,573.19029,46.91391,620.10420
2021-01-04 11:00:00,2021-01-04 12:00:00,623.16392,112.79145,735.95537
2021-01-04 12:00:00,2021-01-04 13:00:00,593.73444,885.41774,1479.15218
2021-01-04 13:00:00,2021-01-04 14:00:00,917.23175,1725.37238,2642.60413
2021-01-04 14:00:00,2021-01-04 15:00:00,1078.36768,2119.19435,3197.56203
2021-01-04 15:00:00,2021-01-04 16:00:00,786.81423,2221.78105,3008.59528
2021-01-04 16:00:00,2021-01-04 17:00:00,517.53821,1934.42203,2451.96024
2021-01-04 17:00:00,2021-01-04 18:00:00,311.78985,1804.48475,2116.27460
2021-01-04 18:00:00,2021-01-04 19:00:00,553.31726,1554.04155,2107.35881
2021-01-04 19:00:00,2021-01-04 20:00:00,388.01477,1728.0527,2116.06747
2021-01-04 20:00:00,2021-01-04 21:00:00,381.79295,1508.66819,1890.46114
2021-01-04 21:00:00,2021-01-04 22:00:00,365.03442,1494.36829,1859.40271
2021-01-04 22:00:00,2021-01-04 23:00:00,402.67391,935.52755,1338.20146
2021-01-04 23:00:00,2021-01-05 00:00:00,265.65037,746.68321,1012.33358
2021-01-05 00:00:00,2021-01-05 01:00:00,259.79123,675.74809,935.53932
2021-01-05 01:00:00,2021-01-05 02:00:00,341.02606,1096.32865,1437.35471
2021-01-05 02:00:00,2021-01-05 03:00:00,406.21543,1520.93512,1927.15055
2021-01-05 03:00:00,2021-01-05 04:00:00,366.24401,1581.5042,1947.74821
2021-01-05 04:00:00,2021-01-05 05:00:00,205.28411,1999.19364,2204.47775
2021-01-05 05:00:00,2021-01-05 06:00:00,71.43894,2418.31785,2489.75679
2021-01-05 06:00:00,2021-01-05 07:00:00,72.26007,2097.81786,2170.07793
2021-01-05 07:00:00,2021-01-05 08:00:00,102.56176,1617.1421,1719.70386
2021-01-05 08:00:00,2021-01-05 09:00:00,61.19185,880.85815,942.05000
2021-01-05 09:00:00,2021-01-05 10:00:00,9.92759,481.35134,491.27893
2021-01-05 10:00:00,2021-01-05 11:00:00,100.30271,170.44496,270.74767
2021-01-05 11:00:00,2021-01-05 12:00:00,102.58664,18.93904,121.52568
2021-01-05 12:00:00,2021-01-05 13:00:00,49.89218,41.17096,91.06314
2021-01-05 13:00:00,2021-01-05 14:00:00,6.53077,58.31409,64.84486
2021-01-05 14:00:00,2021-01-05 15:00:00,0.5642,46.44073,47.00493
2021-01-05 15:00:00,2021-01-05 16:00:00,-1.45099,31.82619,30.37520
2021-01-05 16:00:00,2021-01-05 17:00:00,-2.94226,16.39432,13.45206
2021-01-05 17:00:00,2021-01-05 18:00:00,-2.84166,25.62732,22.78566
2021-01-05 18:00:00,2021-01-05 19:00:00,11.54194,45.52892,57.07086
2021-01-05 19:00:00,2021-01-05 20:00:00,56.11953,69.60154,125.72107
2021-01-05 20:00:00,2021-01-05 21:00:00,3.74858,87.16539,90.91397
2021-01-05 21:00:00,2021-01-05 22:00:00,-1.57086,86.59368,85.02282
2021-01-05 22:00:00,2021-01-05 23:00:00,3.81416,90.67761,94.49177
2021-01-05 23:00:00,2021-01-06 00:00:00,13.13665,119.51714,132.65379
2021-01-06 00:00:00,2021-01-06 01:00:00,14.20618,91.91284,106.11902
2021-01-06 01:00:00,2021-01-06 02:00:00,23.86339,85.47796,109.34135
2021-01-06 02:00:00,2021-01-06 03:00:00,22.61323,91.02879,113.64202
2021-01-06 03:00:00,2021-01-06 04:00:00,24.76895,68.25917,93.02812
2021-01-06 04:00:00,2021-01-06 05:00:00,41.52085,63.10499,104.62584
2021-01-06 05:00:00,2021-01-06 06:00:00,52.96365,63.612,116.57565
2021-01-06 06:00:00,2021-01-06 07:00:00,61.40197,53.97052,115.37249
2021-01-06 07:00:00,2021-01-06 08:00:00,34.89381,45.55996,80.45377
2021-01-06 08:00:00,2021-01-06 09:00:00,52.92494,51.97395,104.89889
2021-01-06 09:00:00,2021-01-06 10:00:00,31.72567,41.25589,72.98156
2021-01-06 10:00:00,2021-01-06 11:00:00,94.59074,17.0658,111.65654
2021-01-06 11:00:00,2021-01-06 12:00:00,127.50166,5.69405,133.19571
2021-01-06 12:00:00,2021-01-06 13:00:00,159.60283,36.20087,195.80370
2021-01-06 13:00:00,2021-01-06 14:00:00,121.46702,88.15,209.61702
2021-01-06 14:00:00,2021-01-06 15:00:00,54.44837,228.14209,282.59046
2021-01-06 15:00:00,2021-01-06 16:00:00,47.64149,489.94505,537.58654
2021-01-06 16:00:00,2021-01-06 17:00:00,52.51152,976.46557,1028.97709
2021-01-06 17:00:00,2021-01-06 18:00:00,65.89412,1532.4679,1598.36202
2021-01-06 18:00:00,2021-01-06 19:00:00,56.34019,1493.58928,1549.92947
2021-01-06 19:00:00,2021-01-06 20:00:00,43.91158,1027.65481,1071.56639
2021-01-06 20:00:00,2021-01-06 21:00:00,80.15764,963.99311,1044.15075
2021-01-06 21:00:00,2021-01-06 22:00:00,62.67685,820.1959,882.87275
2021-01-06 22:00:00,2021-01-06 23:00:00,52.0298,702.15716,754.18696
2021-01-06 23:00:00,2021-01-07 00:00:00,33.8746,784.3537,818.2283
2021-01-07 00:00:00,2021-01-07 01:00:00,17.38999,864.32621,881.71620
2021-01-07 01:00:00,2021-01-07 02:00:00,117.58677,879.90115,997.48792
2021-01-07 02:00:00,2021-01-07 03:00:00,175.50628,782.55687,958.06315
2021-01-07 03:00:00,2021-01-07 04:00:00,162.96192,514.32325,677.28517
2021-01-07 04:00:00,2021-01-07 05:00:00,133.33253,472.574,605.90653
2021-01-07 05:00:00,2021-01-07 06:00:00,116.95212,138.19935,255.15147
2021-01-07 06:00:00,2021-01-07 07:00:00,172.58113,40.37368,212.95481
2021-01-07 07:00:00,2021-01-07 08:00:00,139.51411,35.49353,175.00764
2021-01-07 08:00:00,2021-01-07 09:00:00,52.39407,23.84028,76.23435
2021-01-07 09:00:00,2021-01-07 10:00:00,48.70532,39.81231,88.51763
2021-01-07 10:00:00,2021-01-07 11:00:00,127.8097,30.15607,157.96577
2021-01-07 11:00:00,2021-01-07 12:00:00,120.72099,31.4097,152.13069
2021-01-07 12:00:00,2021-01-07 13:00:00,38.78177,27.47157,66.25334
2021-01-07 13:00:00,2021-01-07 14:00:00,65.94818,20.21448,86.16266
2021-01-07 14:00:00,2021-01-07 15:00:00,36.18037,8.38614,44.56651
2021-01-07 15:00:00,2021-01-07 16:00:00,34.74282,5.29377,40.03659
2021-01-07 16:00:00,2021-01-07 17:00:00,15.63137,5.29348,20.92485
2021-01-07 17:00:00,2021-01-07 18:00:00,7.46045,6.72792,14.18837
2021-01-07 18:00:00,2021-01-07 19:00:00,-1.01615,12.26327,11.24712
2021-01-07 19:00:00,2021-01-07 20:00:00,0.27862,17.56441,17.84303
2021-01-07 20:00:00,2021-01-07 21:00:00,16.47214,17.34821,33.82035
2021-01-07 21:00:00,2021-01-07 22:00:00,36.78989,19.22126,56.01115
2021-01-07 22:00:00,2021-01-07 23:00:00,68.9366,20.62751,89.56411
2021-01-07 23:00:00,2021-01-08 00:00:00,45.38567,21.19239,66.57806
2021-01-08 00:00:00,2021-01-08 01:00:00,48.82403,13.98878,62.81281
2021-01-08 01:00:00,2021-01-08 02:00:00,73.71121,12.62351,86.33472
2021-01-08 02:00:00,2021-01-08 03:00:00,56.04698,12.34011,68.38709
2021-01-08 03:00:00,2021-01-08 04:00:00,105.23278,31.22731,136.46009
2021-01-08 04:00:00,2021-01-08 05:00:00,65.19414,43.47092,108.66506
2021-01-08 05:00:00,2021-01-08 06:00:00,65.2642,127.68185,192.94605
2021-01-08 06:00:00,2021-01-08 07:00:00,71.59779,565.43462,637.03241
2021-01-08 07:00:00,2021-01-08 08:00:00,82.84253,1100.61391,1183.45644
2021-01-08 08:00:00,2021-01-08 09:00:00,117.55019,546.84363,664.39382
2021-01-08 09:00:00,2021-01-08 10:00:00,117.2014,87.87176,205.07316
2021-01-08 10:00:00,2021-01-08 11:00:00,92.14765,40.92868,133.07633
2021-01-08 11:00:00,2021-01-08 12:00:00,51.71658,22.50604,74.22262
2021-01-08 12:00:00,2021-01-08 13:00:00,55.70837,93.93957,149.64794
2021-01-08 13:00:00,2021-01-08 14:00:00,62.47492,349.2862,411.76112
2021-01-08 14:00:00,2021-01-08 15:00:00,13.10192,1143.79392,1156.89584
2021-01-08 15:00:00,2021-01-08 16:00:00,144.90364,2118.1418,2263.04544
2021-01-08 16:00:00,2021-01-08 17:00:00,263.41423,2380.67452,2644.08875
2021-01-08 17:00:00,2021-01-08 18:00:00,178.29776,2326.64768,2504.94544
2021-01-08 18:00:00,2021-01-08 19:00:00,125.33359,1808.5975,1933.93109
2021-01-08 19:00:00,2021-01-08 20:00:00,123.74542,1656.90134,1780.64676
2021-01-08 20:00:00,2021-01-08 21:00:00,184.6081,1465.29581,1649.90391
2021-01-08 21:00:00,2021-01-08 22:00:00,117.6601,1088.50646,1206.16656
2021-01-08 22:00:00,2021-01-08 23:00:00,90.48546,1198.49919,1288.98465
2021-01-08 23:00:00,2021-01-09 00:00:00,65.01421,1195.923,1260.93721
2021-01-09 00:00:00,2021-01-09 01:00:00,65.75944,1304.93995,1370.69939
2021-01-09 01:00:00,2021-01-09 02:00:00,82.88935,1432.39117,1515.28052
2021-01-09 02:00:00,2021-01-09 03:00:00,100.50569,1545.31325,1645.81894
2021-01-09 03:00:00,2021-01-09 04:00:00,135.84495,1852.42874,1988.27369
2021-01-09 04:00:00,2021-01-09 05:00:00,125.04883,2076.60973,2201.65856
2021-01-09 05:00:00,2021-01-09 06:00:00,148.95464,1669.16872,1818.12336
2021-01-09 06:00:00,2021-01-09 07:00:00,129.04577,844.74387,973.78964
2021-01-09 07:00:00,2021-01-09 08:00:00,145.5658,233.19744,378.76324
2021-01-09 08:00:00,2021-01-09 09:00:00,131.19855,129.99146,261.19001
2021-01-09 09:00:00,2021-01-09 10:00:00,79.4741,291.78814,371.26224
2021-01-09 10:00:00,2021-01-09 11:00:00,69.72261,440.05077,509.77338
2021-01-09 11:00:00,2021-01-09 12:00:00,88.44016,506.73754,595.17770
2021-01-09 12:00:00,2021-01-09 13:00:00,30.00643,465.83705,495.84348
2021-01-09 13:00:00,2021-01-09 14:00:00,5.79783,461.87486,467.67269
2021-01-09 14:00:00,2021-01-09 15:00:00,6.69903,350.70867,357.40770
2021-01-09 15:00:00,2021-01-09 16:00:00,7.84054,229.35187,237.19241
2021-01-09 16:00:00,2021-01-09 17:00:00,38.04975,124.56458,162.61433
2021-01-09 17:00:00,2021-01-09 18:00:00,50.37332,115.8533,166.22662
2021-01-09 18:00:00,2021-01-09 19:00:00,45.61294,152.68376,198.29670
2021-01-09 19:00:00,2021-01-09 20:00:00,43.61544,141.57413,185.18957
2021-01-09 20:00:00,2021-01-09 21:00:00,56.06463,142.47474,198.53937
2021-01-09 21:00:00,2021-01-09 22:00:00,45.08325,162.55815,207.64140
2021-01-09 22:00:00,2021-01-09 23:00:00,28.09799,164.0148,192.11279
2021-01-09 23:00:00,2021-01-10 00:00:00,27.38949,143.84017,171.22966
2021-01-10 00:00:00,2021-01-10 01:00:00,22.13247,135.36746,157.49993
2021-01-10 01:00:00,2021-01-10 02:00:00,34.81317,154.17729,188.99046
2021-01-10 02:00:00,2021-01-10 03:00:00,22.53193,148.80087,171.33280
2021-01-10 03:00:00,2021-01-10 04:00:00,18.82798,162.36307,181.19105
2021-01-10 04:00:00,2021-01-10 05:00:00,31.62491,196.56441,228.18932
2021-01-10 05:00:00,2021-01-10 06:00:00,23.63859,240.74206,264.38065
2021-01-10 06:00:00,2021-01-10 07:00:00,12.70242,206.94123,219.64365
2021-01-10 07:00:00,2021-01-10 08:00:00,5.72851,161.58848,167.31699
