timestamp_begin_ct,timestamp_end_ct,Coastal,North,Panhandle,South,West,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,1975.35,146.97,3020.34,1246.65,7623.01,14012.32
2021-01-01 01:00:00,2021-01-01 02:00:00,2023.05,174.87,3358.14,980.89,7778.31,14315.26
2021-01-01 02:00:00,2021-01-01 03:00:00,1819.02,211.95,3405.61,742.39,8068.91,14247.88
2021-01-01 03:00:00,2021-01-01 04:00:00,1426.17,186.87,3366.61,750.18,7543.59,13273.42
2021-01-01 04:00:00,2021-01-01 05:00:00,1280.43,169.53,3305.73,825.16,6667.16,12248.01
2021-01-01 05:00:00,2021-01-01 06:00:00,1164.67,148.03,3261.45,860.99,5928.93,11364.07
2021-01-01 06:00:00,2021-01-01 07:00:00,852.88,144.78,3281.28,909.99,5537.93,10726.86
2021-01-01 07:00:00,2021-01-01 08:00:00,664.86,181.14,3245.11,627.44,5611.12,10329.67
2021-01-01 08:00:00,2021-01-01 09:00:00,423.11,191.92,3074.64,530.55,5669.75,9889.97
2021-01-01 09:00:00,2021-01-01 10:00:00,334.21,223.39,2639.36,522.23,6186.14,9905.33
2021-01-01 10:00:00,2021-01-01 11:00:00,533.67,425.54,2758.66,879.83,6427.94,11025.64
2021-01-01 11:00:00,2021-01-01 12:00:00,470.62,567.36,2664.55,1180.84,6177.56,11060.93
2021-01-01 12:00:00,2021-01-01 13:00:00,422.5,649.65,2512.59,1002.21,5342.06,9929.01
2021-01-01 13:00:00,2021-01-01 14:00:00,219.18,709.3,2381.1,827.34,4695.39,8832.31
2021-01-01 14:00:00,2021-01-01 15:00:00,111.14,658.99,1746.24,755.64,4062.09,7334.1
2021-01-01 15:00:00,2021-01-01 16:00:00,148.15,557.08,1333.38,672.91,3114.08,5825.6
2021-01-01 16:00:00,2021-01-01 17:00:00,144.05,466.18,1011.75,534.01,2155.53,4311.52
2021-01-01 17:00:00,2021-01-01 18:00:00,155.63,385.76,698.55,542.87,1558.88,3341.69
2021-01-01 18:00:00,2021-01-01 19:00:00,172.34,390.85,607.2,806.52,1528.22,3505.13
2021-01-01 19:00:00,2021-01-01 20:00:00,190.11,483.51,369.7,845.41,1677.31,3566.04
2021-01-01 20:00:00,2021-01-01 21:00:00,220.94,633.91,318.6,834.8,1766.78,3775.03
2021-01-01 21:00:00,2021-01-01 22:00:00,266.78,463.38,278.98,798.53,1753.44,3561.11
2021-01-01 22:00:00,2021-01-01 23:00:00,574.51,483.72,251.5,828.91,1959.84,4098.48
2021-01-01 23:00:00,2021-01-02 00:00:00,606.51,562.23,372.62,1010.03,2036.91,4588.3
2021-01-02 00:00:00,2021-01-02 01:00:00,706.68,369.28,485.3,1016.95,1484.23,4062.44
2021-01-02 01:00:00,2021-01-02 02:00:00,570.08,211.2,413.23,788.39,1079.57,3062.47
2021-01-02 02:00:00,2021-01-02 03:00:00,566.21,57.58,422.44,706.97,950.05,2703.25
2021-01-02 03:00:00,2021-01-02 04:00:00,578.78,36.28,402.67,716.23,1399.31,3133.27
2021-01-02 04:00:00,2021-01-02 05:00:00,732.68,53.95,367.58,594.53,1592.17,3340.91
2021-01-02 05:00:00,2021-01-02 06:00:00,469.21,132.65,395.75,532.57,1456.49,2986.67
2021-01-02 06:00:00,2021-01-02 07:00:00,446.26,251.35,350.19,480.61,1522.31,3050.72
2021-01-02 07:00:00,2021-01-02 08:00:00,508.56,334.84,342.27,560.73,1848.99,3595.39
2021-01-02 08:00:00,2021-01-02 09:00:00,494.24,378.58,468.39,394.13,2650.52,4385.86
2021-01-02 09:00:00,2021-01-02 10:00:00,385.8,215.21,519.03,136.01,2922.48,4178.53
2021-01-02 10:00:00,2021-01-02 11:00:00,482.34,115.7,766.45,147.03,2936.06,4447.58
2021-01-02 11:00:00,2021-01-02 12:00:00,559.96,93.4,1664.41,360.19,3550.53,6228.49
2021-01-02 12:00:00,2021-01-02 13:00:00,529.12,119.17,2524.81,556.68,4228.01,7957.79
2021-01-02 13:00:00,2021-01-02 14:00:00,489.89,308.0,2636.2,626.37,5023.52,9083.98
2021-01-02 14:00:00,2021-01-02 15:00:00,431.92,388.0,2461.1,589.03,5835.3,9705.35
