timestamp_begin_et,timestamp_end_et,MIDATL,RFC,RTO,SOUTH,WEST,OTHER,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,99.408,2530.709,2680.321,149.612,2431.301,,7891.351
2021-01-01 01:00:00,2021-01-01 02:00:00,119.53,2908.439,3066.316,157.877,2788.909,,9041.071
2021-01-01 02:00:00,2021-01-01 03:00:00,151.373,3329.273,3491.438,162.165,3177.9,,10312.149
2021-01-01 03:00:00,2021-01-01 04:00:00,221.327,3860.423,4024.199,163.776,3639.096,,11908.821
2021-01-01 04:00:00,2021-01-01 05:00:00,284.637,3829.63,3974.714,145.084,3544.993,,11779.058
2021-01-01 05:00:00,2021-01-01 06:00:00,379.922,5154.03,5271.664,117.634,4774.108,,15697.358
2021-01-01 06:00:00,2021-01-01 07:00:00,464.879,5848.568,5899.468,50.9,5383.689,,17647.504
2021-01-01 07:00:00,2021-01-01 08:00:00,529.045,5678.449,5743.051,64.602,5149.404,,17164.551
2021-01-01 08:00:00,2021-01-01 09:00:00,610.35,5900.758,5966.644,65.886,5290.408,,17834.046
2021-01-01 09:00:00,2021-01-01 10:00:00,662.437,5238.887,5339.543,100.656,4576.45,,15917.973
2021-01-01 10:00:00,2021-01-01 11:00:00,692.726,4221.014,4297.912,76.898,3528.288,,12816.838
2021-01-01 11:00:00,2021-01-01 12:00:00,582.513,3750.589,3837.443,86.854,3168.076,,11425.475
2021-01-01 12:00:00,2021-01-01 13:00:00,459.032,2901.029,2978.783,77.754,2441.997,,8858.595
2021-01-01 13:00:00,2021-01-01 14:00:00,389.064,2604.447,2654.545,50.098,2215.383,,7913.537
2021-01-01 14:00:00,2021-01-01 15:00:00,309.205,2453.165,2490.087,36.922,2143.96,,7433.339
2021-01-01 15:00:00,2021-01-01 16:00:00,203.044,2321.581,2339.386,17.805,2118.537,,7000.353
2021-01-01 16:00:00,2021-01-01 17:00:00,135.812,2093.9,2105.583,11.683,1958.088,,6305.066
2021-01-01 17:00:00,2021-01-01 18:00:00,61.644,1731.039,1740.173,9.134,1669.395,,5211.385
2021-01-01 18:00:00,2021-01-01 19:00:00,52.583,1281.935,1288.096,6.161,1229.352,,3858.127
2021-01-01 19:00:00,2021-01-01 20:00:00,47.478,1359.653,1368.473,8.82,1312.175,,4096.599
2021-01-01 20:00:00,2021-01-01 21:00:00,45.723,1881.321,1889.674,8.353,1835.598,,5660.669
2021-01-01 21:00:00,2021-01-01 22:00:00,60.34,2372.517,2404.362,31.845,2312.177,,7181.241
2021-01-01 22:00:00,2021-01-01 23:00:00,69.161,2621.295,2655.679,34.384,2552.134,,7932.653
2021-01-01 23:00:00,2021-01-02 00:00:00,105.647,2412.106,2480.786,68.68,2306.459,,7373.678
2021-01-02 00:00:00,2021-01-02 01:00:00,160.953,2385.694,2420.048,34.354,2224.741,,7225.790
2021-01-02 01:00:00,2021-01-02 02:00:00,271.511,2574.269,2668.699,94.43,2302.758,,7911.667
2021-01-02 02:00:00,2021-01-02 03:00:00,387.898,2569.195,2753.307,184.112,2181.297,,8075.809
2021-01-02 03:00:00,2021-01-02 04:00:00,465.558,2314.305,2449.936,135.631,1848.747,,7214.177
2021-01-02 04:00:00,2021-01-02 05:00:00,568.49,2195.129,2274.261,79.132,1626.639,,6743.651
2021-01-02 05:00:00,2021-01-02 06:00:00,685.289,2001.407,2108.424,107.017,1316.118,,6218.255
2021-01-02 06:00:00,2021-01-02 07:00:00,778.487,1623.909,1708.266,84.357,845.422,,5040.441
2021-01-02 07:00:00,2021-01-02 08:00:00,765.976,1520.012,1628.039,108.027,754.036,,4776.090
2021-01-02 08:00:00,2021-01-02 09:00:00,794.377,1519.132,1666.662,147.53,724.755,,4852.456
2021-01-02 09:00:00,2021-01-02 10:00:00,886.664,1581.344,1720.883,139.539,694.68,,5023.11
2021-01-02 10:00:00,2021-01-02 11:00:00,924.273,1641.07,1742.029,100.959,716.797,,5125.128
2021-01-02 11:00:00,2021-01-02 12:00:00,873.645,1543.024,1593.682,50.658,669.379,,4730.388
2021-01-02 12:00:00,2021-01-02 13:00:00,771.359,1341.489,1373.435,31.946,570.13,,4088.359
2021-01-02 13:00:00,2021-01-02 14:00:00,609.613,993.063,1011.565,18.502,383.45,,3016.193
2021-01-02 14:00:00,2021-01-02 15:00:00,446.675,710.835,732.287,21.452,264.16,,2175.409
2021-01-02 15:00:00,2021-01-02 16:00:00,367.277,614.331,642.992,28.661,247.054,,1900.315
2021-01-02 16:00:00,2021-01-02 17:00:00,226.143,577.873,594.12,16.247,351.73,,1766.113
2021-01-02 17:00:00,2021-01-02 18:00:00,170.468,464.084,471.114,7.03,293.616,,1406.312
2021-01-02 18:00:00,2021-01-02 19:00:00,105.711,378.807,385.977,7.17,273.096,,1150.761
